PTT,dist_thresh_noB,tag_model,location_type,TDR,dive_summary_frequency,year,CCL_cm,sex,juvenile,deployment_site,deploy_date,end_date,recording_duration_days,foraging_ground_location,foraging_destination,end_nesting,start_foraging,notes,thresh_type,sp_thresh,dist_thresh_wB,specific
213020,15000,F6G 376B,Argos/FGPS,yes,1-d,2021,89,M,no,Guinea-Bissau,04/07/2021 12:00,22/10/2021,110,northeast Bolama,Bijagos,27/08/2021 06:10,05/09/2021 08:10,a bit of foraging before arrival at Bolama,none,NA,NA,NA
213021,10000,F6G 376B,Argos/FGPS,yes,1-d,2021,92.8,M,no,Guinea-Bissau,04/07/2021 12:00,13/08/2021,40,unknown,unknown,NA,NA,,speed,5,NA,NA
213037,NA,F6G 376B,Argos/FGPS,no,no,2021,92.5,M,no,Guinea-Bissau,07/07/2021 12:00,22/07/2021,15,unknown,unknown,NA,NA,,dist,NA,10000,NA
213038,NA,F6G 376B,Argos/FGPS,no,no,2021,100,M,no,Guinea-Bissau,07/07/2021 12:00,11/10/2021,96,PNBA,Mauritania,10/09/2021 10:51,06/10/2021 22:51,,specific,NA,NA,388 389
213039,NA,F6G 376B,Argos/FGPS,no,no,2021,97,M,no,Guinea-Bissau,08/07/2021 12:00,07/09/2021,61,Joal-Fadiouth,Senegal,18/07/2021 11:38,25/07/2021 23:29,Travels backwards awhile in Bijagos before heading north again. Foraging? Mating?,none,NA,NA,NA
213040,NA,F6G 376B,Argos/FGPS,no,no,2021,95,M,no,Guinea-Bissau,06/07/2021 12:00,29/09/2021,85,Joal-Fadiouth,Senegal,28/08/2021 14:32,06/09/2021 04:32,,none,NA,NA,NA
213041,10000,F6G 376B,Argos/FGPS,no,no,2021,93,M,no,Guinea-Bissau,05/07/2021 12:00,07/11/2021,125,sul Rubane,Bijagos,14/08/2021 09:03,16/08/2021 07:03,,dist,NA,10000,NA
213042,8000,F6G 376B,Argos/FGPS,no,no,2021,93.2,M,no,Guinea-Bissau,06/07/2021 12:00,19/09/2021,75,Saloum Delta,Senegal,12/08/2021 07:56,20/08/2021 15:56,,dist,NA,15000,NA
213043,NA,F6G 376B,Argos/FGPS,no,no,2021,88,M,no,Guinea-Bissau,05/07/2021 12:00,25/08/2021,51,Gâmbia,Senegal,12/08/2021 02:03,18/08/2021 22:03,,dist,NA,20000,NA
213044,NA,F6G 376B,Argos/FGPS,no,no,2021,83,M,no,Guinea-Bissau,06/07/2021 12:00,03/08/2021,28,unknown,unknown,NA,NA,,none,NA,NA,NA
213045,NA,F6G 376B,Argos/FGPS,no,no,2021,106.3,M,no,Guinea-Bissau,08/07/2021 12:00,18/09/2021,72,PNBA,Mauritania,25/08/2021 04:06,18/09/2021 04:06,,dist,NA,15000,NA
213046,NA,F6G376B,Argos/FGPS,no,no,2021,92.6,M,no,Guinea-Bissau,09/07/2021 12:00,03/09/2021,56,Joal-Fadiouth,Senegal,03/08/2021 08:26,13/08/2021 06:26,,none,NA,NA,NA
224389,15000,F6G 376B,Argos/FGPS,yes,4-hr,2021,103,F,no,Guinea-Bissau,14/11/2021 20:05,15-Mar,56,Mauritania,Mauritania,29/12/2021 02:24,04/02/2022 19:43,,dist,NA,20000,NA
224390,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,102,F,no,Guinea-Bissau,14/11/2021 21:53,16-Mar,57,Mauritania,Mauritania,14/11/2021 22:35,30/12/2021 14:35,,none,NA,NA,NA
224391,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,106.4,F,no,Guinea-Bissau,15/11/2021 20:30,17-Mar,57,Mauritania,Mauritania,27/11/2021 08:30,28/12/2021 00:30,,none,NA,NA,NA
224392,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,100,F,no,Guinea-Bissau,15/11/2021 21:02,44582,66,unknown,unknown,NA,NA,,none,NA,NA,NA
224393,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,98.4,F,no,Guinea-Bissau,15/11/2021 20:28,14-Mar,55,Mauritania,Mauritania,15/11/2021 20:41,17/12/2021 12:41,,none,NA,NA,NA
224394,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,89.3,F,no,Guinea-Bissau,15/11/2021 21:29,11-Mar,57,Mauritania,Mauritania,15/11/2021 21:43,27/12/2021 23:00,,none,NA,NA,NA
224395,15000,F6G 376B,Argos/FGPS,yes,4-hr,2021,105,F,no,Guinea-Bissau,17/11/2021 20:53,17-Mar,55,Ghana,Ghana,17/02/2022 21:15,09/04/2022 19:15,,dist,NA,25000,NA
224396,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,98.5,F,no,Guinea-Bissau,18/11/2021 20:44,17-Mar,55,Mauritania,Mauritania,27/11/2021 13:00,27/12/2021 03:00,,or,3,15000,NA
224397,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,99.6,F,no,Guinea-Bissau,19/11/2021 21:41,17-Mar,54,Mauritania,Mauritania,30/12/2021 17:58,04/02/2022 11:58,,dist,NA,10000,NA
224398,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,97.5,F,no,Guinea-Bissau,20/11/2021 21:36,44566,45,unknown,unknown,22/12/2021 21:50,NA,likely foraged in Mauritania,dist,NA,10000,NA
224399,6000,F6G 376B,Argos/FGPS,yes,4-hr,2021,98,F,no,Guinea-Bissau,21/11/2021 21:56,17-Mar,52,Mauritania,Mauritania,03/12/2021 00:02,25/12/2021 08:02,,or,5,15000,NA
224400,10000,F6G 376B,Argos/FGPS,yes,4-hr,2021,102.6,F,no,Guinea-Bissau,21/11/2021 22:38,17-Mar,51,Mauritania,Mauritania,01/01/2022 11:06,02/02/2022 01:06,,dist,NA,25000,NA
224401,NA,F6G 376B,Argos/FGPS,yes,4-hr,2021,100.3,F,no,Guinea-Bissau,23/11/2021 08:29,44601,77,Mauritania,Mauritania,10/01/2022 23:29,03/03/2022 22:26,,dist,NA,15000,NA
