ID,sex,firstday,lastday,duration
213020,M,05/07/2021 00:10,22/10/2021 05:06,109
213021,M,04/07/2021 18:22,13/08/2021 08:45,40
213037,M,07/07/2021 08:51,23/07/2021 22:08,17
213038,M,07/07/2021 08:51,22/10/2021 20:38,107
213039,M,08/07/2021 09:29,07/09/2021 23:04,62
213040,M,06/07/2021 08:32,25/10/2021 23:39,112
213041,M,05/07/2021 00:22,10/11/2021 00:04,128
213042,M,06/07/2021 09:56,20/09/2021 14:02,76
213043,M,05/07/2021 00:20,02/09/2021 21:37,60
213044,M,06/07/2021 02:29,03/08/2021 10:34,28
213045,M,08/07/2021 09:30,05/10/2021 19:36,89
213046,M,09/07/2021 10:26,15/09/2021 11:59,68
224389,F,14/11/2021 20:24,15/03/2022 10:16,121
224390,F,14/11/2021 22:35,05/04/2022 05:18,141
224391,F,15/11/2021 20:30,22/04/2022 11:54,158
224392,F,15/11/2021 21:04,21/01/2022 23:07,67
224393,F,15/11/2021 20:41,22/04/2022 10:37,158
224394,F,15/11/2021 21:43,22/04/2022 10:15,158
224395,F,17/11/2021 21:15,22/04/2022 10:38,156
224396,F,18/11/2021 21:00,22/04/2022 11:56,155
224397,F,19/11/2021 21:58,22/04/2022 11:53,154
224398,F,20/11/2021 21:47,05/01/2022 00:35,45
224399,F,21/11/2021 22:02,22/04/2022 11:54,152
224400,F,22/11/2021 01:06,22/04/2022 11:53,151
224401,F,23/11/2021 08:40,10/03/2022 20:24,107
